epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
36,462.522,0.25592,0.88941,1,0.85971,0.000466599,0.000466599,0.000466599
37,475.334,0.22437,0.8941,1,0.8532,0.00045953,0.00045953,0.00045953
38,487.811,0.21804,0.89035,1,0.86124,0.000452462,0.000452462,0.000452462
39,500.618,0.21402,0.89035,1,0.86206,0.000445393,0.000445393,0.000445393
40,513.212,0.24068,0.89503,1,0.86196,0.000438325,0.000438325,0.000438325
41,526.344,0.24061,0.89597,1,0.86703,0.000431256,0.000431256,0.000431256
42,538.778,0.2202,0.89128,1,0.86436,0.000424187,0.000424187,0.000424187
43,551.393,0.19068,0.89316,1,0.85531,0.000417119,0.000417119,0.000417119
44,564.146,0.1944,0.89316,1,0.85274,0.00041005,0.00041005,0.00041005
45,576.731,0.19027,0.89597,1,0.85759,0.000402982,0.000402982,0.000402982
46,588.978,0.19474,0.90253,1,0.85136,0.000395913,0.000395913,0.000395913
47,601.663,0.19629,0.8866,1,0.86021,0.000388844,0.000388844,0.000388844
48,613.899,0.20068,0.88941,1,0.86345,0.000381776,0.000381776,0.000381776
49,626.074,0.18087,0.89597,1,0.85077,0.000374707,0.000374707,0.000374707
50,638.325,0.16242,0.8941,1,0.85883,0.000367639,0.000367639,0.000367639
51,650.547,0.16882,0.89128,1,0.85077,0.00036057,0.00036057,0.00036057
52,663.132,0.16723,0.89878,1,0.85252,0.000353501,0.000353501,0.000353501
53,675.524,0.15714,0.89128,1,0.85507,0.000346433,0.000346433,0.000346433
54,688.128,0.1705,0.89597,1,0.85739,0.000339364,0.000339364,0.000339364
55,700.573,0.14438,0.89691,1,0.85064,0.000332296,0.000332296,0.000332296
56,713.604,0.1704,0.89597,1,0.85659,0.000325227,0.000325227,0.000325227
57,725.191,0.16298,0.89878,1,0.8476,0.000318158,0.000318158,0.000318158
58,737.986,0.14426,0.89784,1,0.85033,0.00031109,0.00031109,0.00031109
59,750.504,0.17782,0.90159,1,0.84879,0.000304021,0.000304021,0.000304021
60,762.773,0.1448,0.90253,1,0.84646,0.000296953,0.000296953,0.000296953
61,775.446,0.14624,0.90253,1,0.84649,0.000289884,0.000289884,0.000289884
62,788.356,0.1645,0.89878,1,0.85028,0.000282815,0.000282815,0.000282815
63,801.352,0.13352,0.89503,1,0.84875,0.000275747,0.000275747,0.000275747
64,814.4,0.1315,0.89878,1,0.84499,0.000268678,0.000268678,0.000268678
65,826.703,0.14936,0.9044,1,0.84981,0.00026161,0.00026161,0.00026161
66,839.038,0.12032,0.90815,1,0.8374,0.000254541,0.000254541,0.000254541
67,851.541,0.11342,0.90159,1,0.8398,0.000247472,0.000247472,0.000247472
68,863.726,0.12572,0.91097,1,0.83673,0.000240404,0.000240404,0.000240404
69,876.539,0.12024,0.91471,1,0.83575,0.000233335,0.000233335,0.000233335
70,888.5,0.11257,0.91003,1,0.83763,0.000226267,0.000226267,0.000226267
71,901.154,0.13154,0.90253,1,0.84338,0.000219198,0.000219198,0.000219198
72,913.841,0.11557,0.9044,1,0.84009,0.000212129,0.000212129,0.000212129
73,926.531,0.10989,0.9044,1,0.84438,0.000205061,0.000205061,0.000205061
74,939.415,0.11758,0.8941,1,0.85392,0.000197992,0.000197992,0.000197992
75,951.307,0.11047,0.90347,1,0.842,0.000190924,0.000190924,0.000190924
76,964.027,0.11101,0.90909,1,0.83969,0.000183855,0.000183855,0.000183855
77,976.842,0.09891,0.90066,1,0.84152,0.000176786,0.000176786,0.000176786
78,989.379,0.09292,0.90534,1,0.84095,0.000169718,0.000169718,0.000169718
79,1002.43,0.09704,0.9044,1,0.83882,0.000162649,0.000162649,0.000162649
80,1015.11,0.11003,0.9044,1,0.8398,0.000155581,0.000155581,0.000155581
81,1026.92,0.08535,0.90722,1,0.83782,0.000148512,0.000148512,0.000148512
82,1039.15,0.10179,0.91284,1,0.83286,0.000141443,0.000141443,0.000141443
83,1051.42,0.10135,0.90722,1,0.83398,0.000134375,0.000134375,0.000134375
84,1063.8,0.07805,0.91471,1,0.83173,0.000127306,0.000127306,0.000127306
85,1076.12,0.09159,0.92127,1,0.83095,0.000120238,0.000120238,0.000120238
86,1088.72,0.08376,0.91565,1,0.83084,0.000113169,0.000113169,0.000113169
87,1101.37,0.08272,0.91846,1,0.8306,0.0001061,0.0001061,0.0001061
88,1114.51,0.07219,0.92127,1,0.83235,9.90318e-05,9.90318e-05,9.90318e-05
89,1127.21,0.07855,0.91003,1,0.83411,9.19632e-05,9.19632e-05,9.19632e-05
90,1140.17,0.09583,0.91471,1,0.83477,8.48946e-05,8.48946e-05,8.48946e-05
91,1153.76,0.07561,0.92127,1,0.83113,7.7826e-05,7.7826e-05,7.7826e-05
92,1166.81,0.08464,0.91565,1,0.83305,7.07574e-05,7.07574e-05,7.07574e-05
93,1179.27,0.07529,0.91753,1,0.83077,6.36888e-05,6.36888e-05,6.36888e-05
94,1191,0.08207,0.91846,1,0.82811,5.66202e-05,5.66202e-05,5.66202e-05
95,1203.28,0.07605,0.91753,1,0.82823,4.95516e-05,4.95516e-05,4.95516e-05
96,1215.55,0.0714,0.91659,1,0.83151,4.2483e-05,4.2483e-05,4.2483e-05
97,1227.94,0.08278,0.91659,1,0.82962,3.54144e-05,3.54144e-05,3.54144e-05
98,1240.59,0.06994,0.91378,1,0.83144,2.83458e-05,2.83458e-05,2.83458e-05
99,1253.12,0.07107,0.91471,1,0.82972,2.12772e-05,2.12772e-05,2.12772e-05
100,1266.16,0.07328,0.91565,1,0.83223,1.42086e-05,1.42086e-05,1.42086e-05
